# curie_map:
#   EDAM: http://w3id.org/sssom/unknown_prefix/edam/
#   aio: http://w3id.org/sssom/unknown_prefix/aio/
#   oio: http://www.geneontology.org/formats/oboInOwl#
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://w3id.org/sssom/license/unspecified
# mapping_set_id: https://w3id.org/sssom/mappings/18f09b93-8ab9-4eb4-b409-26a9f27f6d9a
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
EDAM:citation	Citation	skos:closeMatch	EDAM:data_0970	Citation	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	citation
EDAM:data_0582	Ontology	skos:closeMatch	EDAM:topic_0089	Ontology and terminology	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasNarrowSynonym	ontology
EDAM:data_0858	Sequence signature matches	skos:closeMatch	EDAM:operation_0300	Sequence profile alignment	semapv:LexicalMatching	oaklib	0.5	oio:hasNarrowSynonym	oio:hasNarrowSynonym	profile-profile alignment
EDAM:data_0858	Sequence signature matches	skos:closeMatch	EDAM:operation_0300	Sequence profile alignment	semapv:LexicalMatching	oaklib	0.5	oio:hasNarrowSynonym	oio:hasNarrowSynonym	sequence-profile alignment
EDAM:data_0858	Sequence signature matches	skos:closeMatch	EDAM:operation_0300	Sequence profile alignment	semapv:LexicalMatching	oaklib	0.5	oio:hasNarrowSynonym	rdfs:label	sequence profile alignment
EDAM:data_0863	Sequence alignment	skos:closeMatch	EDAM:operation_0292	Sequence alignment	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	sequence alignment
EDAM:data_0872	Phylogenetic tree	skos:closeMatch	EDAM:topic_0084	Phylogeny	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	phylogeny
EDAM:data_0878	Protein secondary structure alignment	skos:closeMatch	EDAM:operation_2488	Protein secondary structure comparison	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasNarrowSynonym	protein secondary structure alignment
EDAM:data_0881	RNA secondary structure alignment	skos:closeMatch	EDAM:operation_0502	RNA secondary structure alignment	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	secondary structure alignment (rna)
EDAM:data_0881	RNA secondary structure alignment	skos:closeMatch	EDAM:operation_0502	RNA secondary structure alignment	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	rna secondary structure alignment
