# curie_map:										
#   aio: http://w3id.org/sssom/unknown_prefix/aio/										
#   mlo: http://w3id.org/sssom/unknown_prefix/mlo/										
#   oio: http://www.geneontology.org/formats/oboInOwl#										
#   owl: http://www.w3.org/2002/07/owl#										
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#										
#   rdfs: http://www.w3.org/2000/01/rdf-schema#										
#   semapv: https://w3id.org/semapv/vocab/										
#   skos: http://www.w3.org/2004/02/skos/core#										
#   sssom: https://w3id.org/sssom/										
# license: https://w3id.org/sssom/license/unspecified										
# mapping_set_id: https://w3id.org/sssom/mappings/c86c48fd-b433-43c4-b60e-6103a56890bf										
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
aio:ArtificialNeuralNetwork	Artificial Neural Network	skos:closeMatch	mlo:ANN	ANN	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	ann
aio:ArtificialNeuralNetwork	Artificial Neural Network	skos:closeMatch	mlo:Artificial_Neural_Network	Artificial Neural Network	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	artificial neural network
aio:AssociationRuleLearning	Association Rule Learning	skos:closeMatch	mlo:Association_Rule_Learning	Association Rule Learning	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	association rule learning
aio:BayesianNetwork	Bayesian Network	skos:closeMatch	mlo:Bayesian_Network	Bayesian Network	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	bayesian network
aio:BidirectionalTransformerLanguageModel	Bidirectional Transformer Language Model	skos:closeMatch	mlo:BERT	BERT	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	bert
aio:Classification	Classification	skos:closeMatch	mlo:Classification	Classification	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	classification
aio:Clustering	Clustering	skos:closeMatch	mlo:Clustering	Clustering	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	clustering
aio:DecisionTree	Decision Tree	skos:closeMatch	mlo:Decision_Tree	Decision Tree	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	decision tree
aio:DeepBeliefNetwork	Deep Belief Network	skos:closeMatch	mlo:DBN	DBN	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	dbn
aio:DeepConvolutionalNetwork	Deep Convolutional Network	skos:closeMatch	mlo:CNN	CNN	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	cnn
aio:DeepFeedForwardNetwork	Deep Feed-Forward Network	skos:closeMatch	mlo:MLP	MLP	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	mlp
aio:DimensionalityReduction	Dimensionality Reduction	skos:closeMatch	mlo:Dimensionality_Reduction	Dimensionality Reduction	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	dimensionality reduction
aio:FeatureExtraction	Feature Extraction	skos:closeMatch	mlo:Feature_Extraction	Feature Extraction	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	feature extraction
aio:HierarchicalClustering	Hierarchical Clustering	skos:closeMatch	mlo:Hierarchical_Clustering	Hierarchical Clustering	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	hierarchical clustering
aio:HopfieldNetwork	Hopfield Network	skos:closeMatch	mlo:Hopfield_Network	Hopfield Network	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	hopfield network
aio:KnearestNeighborAlgorithm	K-nearest Neighbor Algorithm	skos:closeMatch	mlo:kNN	kNN	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	knn
aio:KohonenNetwork	Kohonen Network	skos:closeMatch	mlo:SOFM	SOFM	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	sofm
aio:KohonenNetwork	Kohonen Network	skos:closeMatch	mlo:SOM	SOM	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	som
aio:KohonenNetwork	Kohonen Network	skos:closeMatch	mlo:Self-Organizing_Map	Self-Organizing Map	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	self-organizing map
aio:KohonenNetwork	Kohonen Network	skos:closeMatch	mlo:Self-organizing_map	Self-organizing map	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	self-organizing map
aio:KohonenNetwork	Kohonen Network	skos:closeMatch	mlo:self-organizing_feature_map	self-organizing feature map	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	self-organizing feature map
aio:LinearRegression	Linear Regression	skos:closeMatch	mlo:Linear_Regression	Linear Regression	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	linear regression
aio:LogisticRegression	Logistic Regression	skos:closeMatch	mlo:Logistic_Regression	Logistic Regression	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	logistic regression
aio:LongShortTermMemory	Long Short Term Memory	skos:closeMatch	mlo:LSTM	LSTM	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	lstm
aio:MarkovChain	Markov Chain	skos:closeMatch	mlo:Markov_Chain	Markov Chain	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	markov chain
aio:MultidimensionalScaling	Multidimensional Scaling	skos:closeMatch	mlo:MDS	MDS	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	mds
aio:MultidimensionalScaling	Multidimensional Scaling	skos:closeMatch	mlo:Multidimensional_Scaling	Multidimensional Scaling	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	multidimensional scaling
aio:NaturalLanguageProcessing	Natural Language Processing	skos:closeMatch	mlo:NLP	NLP	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	nlp
aio:NaturalLanguageProcessing	Natural Language Processing	skos:closeMatch	mlo:Natural_Language_Processing	Natural Language Processing	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	natural language processing
aio:Perceptron	Perceptron	skos:closeMatch	mlo:Perceptron	Perceptron	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	perceptron
aio:PrincipalComponentAnalysis	Principal Component Analysis	skos:closeMatch	mlo:PCA	PCA	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	pca
aio:PrincipalComponentAnalysis	Principal Component Analysis	skos:closeMatch	mlo:Principal_Component_Analysis	Principal Component Analysis	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	principal component analysis
aio:RadialBasisNetwork	Radial Basis Network	skos:closeMatch	mlo:Radial_Basis_Function_Network	Radial Basis Function Network	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	radial basis function network
aio:RandomForest	Random Forest	skos:closeMatch	mlo:Random_Forest	Random Forest	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	random forest
aio:ReinforcementLearning	Reinforcement Learning	skos:closeMatch	mlo:Reinforcement_Learning	Reinforcement Learning	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	reinforcement learning
aio:RidgeRegression	Ridge Regression	skos:closeMatch	mlo:Ridge_Regression	Ridge Regression	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	ridge regression
aio:SupervisedLearning	Supervised Learning	skos:closeMatch	mlo:Supervised_Learning	Supervised Learning	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	supervised learning
aio:SupportVectorMachine	Support Vector Machine	skos:closeMatch	mlo:SVM	SVM	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	svm
