# curie_map:
#   NCIT: http://purl.obolibrary.org/obo/NCIT_
#   aio: http://w3id.org/sssom/unknown_prefix/aio/
#   oio: http://www.geneontology.org/formats/oboInOwl#
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://w3id.org/sssom/license/unspecified
# mapping_set_id: https://w3id.org/sssom/mappings/bd521f29-e0fe-44b1-afba-bd4e8d547094
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
NCIT:C101114	U2AF1 wt Allele	skos:closeMatch	aio:RecNN	Recurrent Neural Network	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	rn
NCIT:C101117	YWHAE wt Allele	skos:closeMatch	aio:Multidimensional_Scaling	Multidimensional Scaling	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	mds
NCIT:C106422	GAN Gene	skos:closeMatch	aio:GAN	Generative Adversarial Network	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	gan
NCIT:C106424	Gigaxonin	skos:closeMatch	aio:GAN	Generative Adversarial Network	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	gan
NCIT:C1109	Gallium Nitrate	skos:closeMatch	aio:GAN	Generative Adversarial Network	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	gan
NCIT:C112873	DCN Gene	skos:closeMatch	aio:DCN	Deep Convolutional Network	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	dcn
NCIT:C113467	Platinum-Group Metal	skos:closeMatch	aio:Probabilistic_Graphical_Model	Probabilistic Graphical Model	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	pgm
NCIT:C115186	MUC2 wt Allele	skos:closeMatch	aio:DFF	Deep FeedFoward	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	mlp
NCIT:C121681	Solitary Circumscribed Neuroma	skos:closeMatch	aio:SCN	Symmetrically Connected Network	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	scn
NCIT:C123791	Somali Language	skos:closeMatch	aio:KN	Kohonen Network	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	som
NCIT:C126486	NTS wt Allele	skos:closeMatch	aio:ANN	Artificial Neural Network	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	nn
NCIT:C126491	Neuromedin N	skos:closeMatch	aio:ANN	Artificial Neural Network	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	nn
NCIT:C12831	Posterior Cerebral Artery	skos:closeMatch	aio:Principal_Component_Analysis	Principal Component Analysis	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	pca
NCIT:C128858	C4A wt Allele	skos:closeMatch	aio:P	Perceptron	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	slp
NCIT:C129389	Phosphoglucomutase	skos:closeMatch	aio:Probabilistic_Graphical_Model	Probabilistic Graphical Model	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	pgm
NCIT:C131259	MT-RNR2 wt Allele	skos:closeMatch	aio:HN	Hopfield Network	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	hn
NCIT:C142686	Serious Adverse Experience	skos:closeMatch	aio:SAE	Sparse AE	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	sae
NCIT:C147459	Nontuberculous Mycobacteria Measurement	skos:closeMatch	aio:NTM	Neural Turing Machine Network	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	ntm
NCIT:C150116	EDQM-HC State of Matter Terminology	skos:closeMatch	aio:KN	Kohonen Network	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	som
NCIT:C154109	Sicilian Language	skos:closeMatch	aio:SCN	Symmetrically Connected Network	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	scn
NCIT:C154745	Thiocyanate Measurement	skos:closeMatch	aio:SCN	Symmetrically Connected Network	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	scn
NCIT:C158173	Hani Chinese	skos:closeMatch	aio:HN	Hopfield Network	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	hn
NCIT:C16334	Bermuda	skos:closeMatch	aio:BM	Boltzmann Machine Network	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	bm
NCIT:C166152	Severe Congenital Neutropenia	skos:closeMatch	aio:SCN	Symmetrically Connected Network	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	scn
NCIT:C16694	Honduras	skos:closeMatch	aio:HN	Hopfield Network	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	hn
NCIT:C16847	Technique	skos:closeMatch	aio:Method	Method	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	method
NCIT:C16874	Monaco	skos:closeMatch	aio:MC	Markov Chain	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	mc
NCIT:C16904	Netherlands Antilles	skos:closeMatch	aio:ANN	Artificial Neural Network	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	nn
