ID,Category,Synomyms,Related synonyms,Name,ExactSynonym and label identical,description jaccard diff,Legacy Description,description details comment,Claude opus Aristotelian definition,Curated Claude opus Aristotelian definition,Reference (DOI),Layers comment,layer parts,Parent
ID,AI oio:inSubset  SPLIT=|,A oio:hasExactSynonym SPLIT=|,A oio:hasRelatedSynonym SPLIT=|,LABEL,,,,A rdfs:comment,,A IAO:0000115,>AI oio:hasDbXref  SPLIT=|,A rdfs:comment,SC BFO:0000051 some % SPLIT=|,SC % SPLIT=|
AIO:SoftmaxFunction,AIO:FunctionSubset|AIO:ActivationFunctionSubset,,,Softmax Function,FALSE,0.70,"The elements of the output vector are in range (0, 1) and sum to 1. Each vector is handled independently. The axis argument sets which axis of the input the function is applied along. Softmax is often used as the activation for the last layer of a classification network because the result could be interpreted as a probability distribution. The softmax of each vector x is computed as exp(x) / tf.reduce_sum(exp(x)). The input values in are the log-odds of the resulting probability.","The elements of the output vector are in range (0, 1) and sum to 1. Each vector is handled independently. The axis argument sets which axis of the input the function is applied along. Softmax is often used as the activation for the last layer of a classification network because the result could be interpreted as a probability distribution. The softmax of each vector x is computed as exp(x) / tf.reduce_sum(exp(x)). The input values in are the log-odds of the resulting probability.",An activation function where the elements of the output vector are in range (0 1) and sum to 1 and each vector is handled independently.,A mathematical function where the elements of the output vector are in range (0 1) and sum to 1 and each vector is handled independently.,https://www.tensorflow.org/api_docs/python/tf/keras/activations/softmax,,,AIO:MathematicalFunction
AIO:SigmoidFunction,AIO:FunctionSubset|AIO:ActivationFunctionSubset,tore,,Sigmoid Function,FALSE,0.66,"Applies the sigmoid activation function sigmoid(x) = 1 / (1 + exp(-x)). For small values (<-5), sigmoid returns a value close to zero, and for large values (>5) the result of the function gets close to 1. Sigmoid is equivalent to a 2-element Softmax, where the second element is assumed to be zero. The sigmoid function always returns a value between 0 and 1.","Applies the sigmoid activation function sigmoid(x) = 1 / (1 + exp(-x)). For small values (<-5), sigmoid returns a value close to zero, and for large values (>5) the result of the function gets close to 1. Sigmoid is equivalent to a 2-element Softmax, where the second element is assumed to be zero. The sigmoid function always returns a value between 0 and 1.",An activation function that applies the sigmoid activation function sigmoid(x) = 1 / (1 + exp(-x)) always returning a value between 0 and 1.,A mathematical function that applies the sigmoid activation function sigmoid(x) = 1 / (1 + exp(-x)) always returning a value between 0 and 1.,https://www.tensorflow.org/api_docs/python/tf/keras/activations/sigmoid,,,AIO:MathematicalFunction
AIO:LinearFunction,AIO:FunctionSubset|AIO:ActivationFunctionSubset,,,Linear Function,FALSE,0.36,A linear function has the form f(x) = a + bx.,,An activation function that has the form f(x) = a + bx.,A mathematical function that has the form f(x) = a + bx.,https://www.tensorflow.org/api_docs/python/tf/keras/activations/linear,,,AIO:MathematicalFunction
AIO:SoftplusFunction,AIO:FunctionSubset|AIO:ActivationFunctionSubset,,,Softplus Function,FALSE,0.64,softplus(x) = log(exp(x) + 1),softplus(x) = log(exp(x) + 1),An activation function that is softplus(x) = log(exp(x) + 1).,A mathematical function that is softplus(x) = log(exp(x) + 1).,https://www.tensorflow.org/api_docs/python/tf/keras/activations/softplus,,,AIO:MathematicalFunction
AIO:SoftsignFunction,AIO:FunctionSubset|AIO:ActivationFunctionSubset,,,Softsign Function,FALSE,0.54,softsign(x) = x / (abs(x) + 1),softsign(x) = x / (abs(x) + 1),An activation function that is softsign(x) = x / (abs(x) + 1).,A mathematical function that is softsign(x) = x / (abs(x) + 1).,https://www.tensorflow.org/api_docs/python/tf/keras/activations/softsign,,,AIO:MathematicalFunction
AIO:TanhFunction,AIO:FunctionSubset|AIO:ActivationFunctionSubset,hyperbolic tangent,,Tanh Function,FALSE,0.70,Hyperbolic tangent activation function.,Hyperbolic tangent activation function.,An activation function that is the hyperbolic tangent activation function.,A mathematical function that is the hyperbolic tangent activation function.,https://www.tensorflow.org/api_docs/python/tf/keras/activations/tanh,,,AIO:MathematicalFunction
AIO:ELUFunction,AIO:FunctionSubset|AIO:ActivationFunctionSubset,Exponential Linear Unit|ELU,,ELU Function,FALSE,0.68,The exponential linear unit (ELU) with alpha > 0 is: x if x > 0 and alpha * (exp(x) - 1) if x < 0 The ELU hyperparameter alpha controls the value to which an ELU saturates for negative net inputs. ELUs diminish the vanishing gradient effect. ELUs have negative values which pushes the mean of the activations closer to zero. Mean activations that are closer to zero enable faster Learning as they bring the gradient closer to the natural gradient. ELUs saturate to a negative value when the argument gets smaller. Saturation means a small derivative which decreases the variation and the information that is propagated to the next layer.,The exponential linear unit (ELU) with alpha > 0 is: x if x > 0 and alpha * (exp(x) - 1) if x < 0 The ELU hyperparameter alpha controls the value to which an ELU saturates for negative net inputs. ELUs diminish the vanishing gradient effect. ELUs have negative values which pushes the mean of the activations closer to zero. Mean activations that are closer to zero enable faster Learning as they bring the gradient closer to the natural gradient. ELUs saturate to a negative value when the argument gets smaller. Saturation means a small derivative which decreases the variation and the information that is propagated to the next layer.,An activation function that is x if x > 0 and alpha * (exp(x) - 1) if x < 0 where alpha controls the value to which an ELU saturates for negative net inputs.,A mathematical function that is x if x > 0 and alpha * (exp(x) - 1) if x < 0 where alpha controls the value to which an ELU saturates for negative net inputs.,https://www.tensorflow.org/api_docs/python/tf/keras/activations/elu,,,AIO:MathematicalFunction
AIO:SwishFunction,AIO:FunctionSubset|AIO:ActivationFunctionSubset,,,Swish Function,FALSE,0.56,"x*sigmoid(x). It is a smooth, non-monotonic function that consistently matches or outperforms ReLU on deep networks, it is unbounded above and bounded below.","x*sigmoid(x). It is a smooth, non-monotonic function that consistently matches or outperforms ReLU on deep networks, it is unbounded above and bounded below.",An activation function that is x*sigmoid(x) a smooth non-monotonic function that consistently matches or outperforms ReLU on deep networks.,A mathematical function that is x*sigmoid(x) a smooth non-monotonic function that consistently matches or outperforms ReLU on deep networks.,https://www.tensorflow.org/api_docs/python/tf/keras/activations/swish,,,AIO:MathematicalFunction
AIO:SELUFunction,AIO:FunctionSubset|AIO:ActivationFunctionSubset,Scaled Exponential Linear Unit|SELU,,SELU Function,FALSE,0.16,The SELU activation function multiplies scale (> 1) with the output of the ELU function to ensure a slope larger than one for positive inputs.,,An activation function that multiplies scale (> 1) with the output of the ELU function to ensure a slope larger than one for positive inputs.,A mathematical function that multiplies scale (> 1) with the output of the ELU function to ensure a slope larger than one for positive inputs.,https://www.tensorflow.org/api_docs/python/tf/keras/activations/selu,,,AIO:MathematicalFunction
