Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	Deep FeedFoward	IAO:0000115	<The feedforward neural network was the first and simplest type of artificial neural network devised. In this network, the information moves in only one direction—forward—from the input nodes, through the hidden nodes (if any) and to the output nodes. There are no cycles or loops in the network. (https://en.wikipedia.org/wiki/Feedforward_neural_network)>
ERROR	duplicate_definition	Feedforward Network	IAO:0000115	<The feedforward neural network was the first and simplest type of artificial neural network devised. In this network, the information moves in only one direction—forward—from the input nodes, through the hidden nodes (if any) and to the output nodes. There are no cycles or loops in the network. (https://en.wikipedia.org/wiki/Feedforward_neural_network)>
WARN	duplicate_exact_synonym	Deep FeedFoward	oboInOwl:hasExactSynonym	FFN
WARN	duplicate_exact_synonym	Feedforward Network	oboInOwl:hasExactSynonym	FFN
WARN	missing_definition	Addition layer	IAO:0000115	
WARN	missing_definition	BN layer	IAO:0000115	
WARN	missing_definition	Backfed Input layer	IAO:0000115	
WARN	missing_definition	Convolutional layer	IAO:0000115	
WARN	missing_definition	Hidden layer	IAO:0000115	
WARN	missing_definition	Input layer	IAO:0000115	
WARN	missing_definition	Kernel layer	IAO:0000115	
WARN	missing_definition	Layer	IAO:0000115	
WARN	missing_definition	Matched Output-Input layer	IAO:0000115	
WARN	missing_definition	Memory Cell layer	IAO:0000115	
WARN	missing_definition	Network	IAO:0000115	
WARN	missing_definition	Noisy Input layer	IAO:0000115	
WARN	missing_definition	Output layer	IAO:0000115	
WARN	missing_definition	Padding layer	IAO:0000115	
WARN	missing_definition	Pooling layer	IAO:0000115	
WARN	missing_definition	Probabilistic Hidden layer	IAO:0000115	
WARN	missing_definition	Recurrent Network	IAO:0000115	
WARN	missing_definition	ReLU layer	IAO:0000115	
WARN	missing_definition	Recurrent layer	IAO:0000115	
WARN	missing_definition	Sigmoid	IAO:0000115	
WARN	missing_definition	Softmax	IAO:0000115	
WARN	missing_definition	Spiking Hidden layer	IAO:0000115	
WARN	missing_definition	Weight layer	IAO:0000115	
INFO	missing_superclass	Layer	rdfs:subClassOf	
INFO	missing_superclass	Network	rdfs:subClassOf	
INFO	missing_superclass	Padding layer	rdfs:subClassOf	
INFO	missing_superclass	Pooling layer	rdfs:subClassOf	
INFO	missing_superclass	Sigmoid	rdfs:subClassOf	
INFO	missing_superclass	Softmax	rdfs:subClassOf	
